DateTime,bum_af,bum_fb,bum_qd,bum_qu
1990-01-01,14931.00,3409.29,309.00,117.43
1990-01-02,14534.13,3408.86,305.00,104.91
1990-01-03,14165.00,3408.45,301.00,114.90
1990-01-04,13814.00,3408.06,301.00,124.04
1990-01-05,13526.00,3407.74,297.00,151.80
1990-01-06,13382.00,3407.58,297.00,224.40
1990-01-07,13841.00,3408.09,309.00,540.41
1990-01-08,14291.00,3408.59,309.00,535.88
1990-01-09,17620.00,3412.07,345.00,2023.37
1990-01-10,19931.03,3414.31,363.00,1528.14
1990-01-11,20770.00,3415.10,363.00,785.98
1990-01-12,21200.00,3415.50,363.00,579.79
1990-01-13,21310.00,3415.60,363.00,418.46
1990-01-14,21450.00,3415.73,363.00,433.58
1990-01-15,21408.97,3415.69,359.00,338.32
1990-01-16,21266.00,3415.56,359.00,286.92
1990-01-17,21057.19,3415.37,359.00,253.72
1990-01-18,20802.81,3415.13,354.00,225.75
1990-01-19,20537.95,3414.88,350.00,216.46
1990-01-20,20240.00,3414.60,350.00,199.79
1990-01-21,19920.00,3414.30,345.00,183.67
1990-01-22,19799.97,3414.19,262.00,201.49
1990-01-23,19500.00,3413.90,354.00,202.76
1990-01-24,19278.97,3413.69,265.00,153.57
1990-01-25,18990.00,3413.41,354.00,208.31
1990-01-26,18650.00,3413.08,350.00,178.58
1990-01-27,18360.00,3412.80,345.00,198.79
1990-01-28,18170.03,3412.61,345.00,249.22
1990-01-29,17850.00,3412.30,341.00,179.65
1990-01-30,17532.00,3411.98,341.00,180.67
1990-01-31,17229.93,3411.67,337.00,184.70
1990-02-01,16920.15,3411.36,333.00,176.82
1990-02-02,16560.00,3411.00,333.00,151.43
1990-02-03,16209.85,3410.64,329.00,152.47
1990-02-04,15860.00,3410.27,325.00,148.62
1990-02-05,15546.00,3409.94,321.00,162.69
1990-02-06,15210.00,3409.58,317.00,147.60
1990-02-07,14904.00,3409.26,317.00,162.72
1990-02-08,14534.13,3408.86,313.00,126.52
1990-02-09,14273.00,3408.57,309.00,177.35
1990-02-10,14156.00,3408.44,313.00,254.01
1990-02-11,14057.07,3408.33,309.00,259.12
1990-02-12,13912.93,3408.17,305.00,232.33
1990-02-13,13706.00,3407.94,305.00,200.67
1990-02-14,13480.98,3407.69,301.00,187.55
1990-02-15,13283.00,3407.47,301.00,201.19
1990-02-16,13040.98,3407.19,297.00,174.98
1990-02-17,12763.96,3406.88,293.00,153.34
1990-02-18,12464.00,3406.53,289.00,137.77
1990-02-19,12163.96,3406.18,289.00,137.73
1990-02-20,11930.00,3405.90,285.00,167.04
1990-02-21,11653.00,3405.57,281.00,141.35
1990-02-22,11356.00,3405.22,281.00,131.26
1990-02-23,11073.96,3404.88,277.00,134.81
1990-02-24,10802.00,3404.54,273.00,135.89
1990-02-25,10528.00,3404.21,269.00,130.86
1990-02-26,10263.96,3403.88,265.00,131.88
1990-02-27,10128.00,3403.71,183.00,114.45
1990-02-28,10111.98,3403.69,138.00,129.92
1990-03-01,10087.92,3403.66,138.00,125.87
1990-03-02,10063.86,3403.63,138.00,125.87
1990-03-03,10040.00,3403.60,138.00,125.97
1990-03-04,10040.00,3403.60,138.00,138.00
1990-03-05,10024.00,3403.58,138.00,129.93
1990-03-06,10016.00,3403.57,138.00,133.97
1990-03-07,10024.00,3403.58,113.00,117.03
1990-03-08,10103.96,3403.68,100.00,140.31
1990-03-09,10192.00,3403.79,100.00,144.39
1990-03-10,10248.12,3403.86,102.00,130.29
1990-03-11,10280.00,3403.90,102.00,118.07
1990-03-12,10304.00,3403.93,102.00,114.10
1990-03-13,10344.00,3403.98,102.00,122.17
1990-03-14,10360.00,3404.00,102.00,110.07
1990-03-15,10400.00,3404.05,102.00,122.17
1990-03-16,10416.00,3404.07,102.00,110.07
1990-03-17,10440.00,3404.10,102.00,114.10
1990-03-18,10479.90,3404.15,102.00,122.12
1990-03-19,10544.00,3404.23,102.00,134.32
1990-03-20,10645.11,3404.35,104.00,154.98
1990-03-21,10770.00,3404.50,104.00,166.97
1990-03-22,10913.96,3404.68,104.00,176.58
1990-03-23,11073.96,3404.88,106.00,186.67
1990-03-24,11244.00,3405.08,106.00,191.73
1990-03-25,11372.00,3405.24,106.00,170.53
1990-03-26,11491.96,3405.38,106.00,166.48
1990-03-27,11626.00,3405.54,106.00,173.58
1990-03-28,11751.98,3405.69,106.00,169.52
1990-03-29,11894.13,3405.86,108.00,179.67
1990-03-30,12073.00,3406.07,108.00,198.18
1990-03-31,12310.10,3406.35,111.00,230.54
1990-04-01,12637.00,3406.73,115.00,279.81
1990-04-02,13122.00,3407.28,117.00,361.52
1990-04-03,13715.00,3407.95,120.00,418.97
1990-04-04,14326.85,3408.63,125.00,433.47
1990-04-05,15000.15,3409.36,128.00,467.46
1990-04-06,15753.91,3410.16,133.00,513.02
1990-04-07,16610.00,3411.05,138.00,569.61
1990-04-08,17505.00,3411.95,143.00,594.23
1990-04-09,18280.00,3412.72,143.00,533.73
1990-04-10,18959.95,3413.38,145.00,487.81
1990-04-11,19633.00,3414.03,145.00,484.33
