DateTime,cle_af,cle_fb,cle_qd,cle_qu
1990-01-01,159660.00,2172.10,81.00,372.41
1990-01-02,160034.00,2172.20,78.00,266.56
1990-01-03,160505.41,2172.30,77.00,314.67
1990-01-04,161146.00,2172.50,78.00,400.97
1990-01-05,161996.00,2172.70,79.00,507.54
1990-01-06,162812.00,2173.00,81.00,492.40
1990-01-07,165029.83,2173.60,84.00,1202.16
1990-01-08,167388.58,2174.30,96.00,1285.20
1990-01-09,171340.00,2175.50,117.00,2109.18
1990-01-10,174975.00,2176.50,118.00,1950.65
1990-01-11,177554.08,2177.30,108.00,1408.29
1990-01-12,179400.34,2177.80,104.00,1034.83
1990-01-13,179925.00,2177.90,103.00,367.51
1990-01-14,181990.00,2178.50,99.00,1140.10
1990-01-15,183120.00,2178.90,98.00,667.71
1990-01-16,184071.73,2179.10,95.00,574.83
1990-01-17,184916.00,2179.40,93.00,518.65
1990-01-18,185520.00,2179.50,90.00,394.52
1990-01-19,186300.00,2179.80,89.00,482.25
1990-01-20,186902.00,2179.90,85.00,388.51
1990-01-21,187503.47,2180.10,84.00,387.24
1990-01-22,188394.92,2180.30,83.00,532.44
1990-01-23,189212.17,2180.60,79.00,491.03
1990-01-24,189716.00,2180.70,79.00,333.01
1990-01-25,190465.00,2180.90,80.00,457.62
1990-01-26,191073.47,2181.10,77.00,383.77
1990-01-27,192072.00,2181.40,78.00,581.43
1990-01-28,193404.00,2181.70,81.00,752.55
1990-01-29,194088.00,2181.90,85.00,429.85
1990-01-30,194694.58,2182.10,84.00,389.82
1990-01-31,195194.00,2182.20,80.00,331.79
1990-02-01,195914.00,2182.40,77.00,440.00
1990-02-02,196392.17,2182.60,77.00,318.08
1990-02-03,196788.00,2182.70,78.00,277.56
1990-02-04,197220.44,2182.80,75.00,293.02
1990-02-05,197832.00,2183.00,75.00,383.33
1990-02-06,198335.64,2183.10,75.00,328.92
1990-02-07,199056.53,2183.30,74.00,437.45
1990-02-08,199348.00,2183.40,71.00,217.95
1990-02-09,200804.36,2183.80,81.00,815.25
1990-02-10,203707.45,2184.60,88.00,1551.64
1990-02-11,206924.00,2185.50,95.00,1716.68
1990-02-12,209239.56,2186.10,105.00,1272.43
1990-02-13,210936.09,2186.60,112.00,967.33
1990-02-14,212111.00,2186.90,111.00,703.35
1990-02-15,213591.27,2187.30,111.00,857.30
1990-02-16,214590.00,2187.60,108.00,611.53
1990-02-17,215404.19,2187.80,102.00,512.49
1990-02-18,216070.00,2188.00,100.00,435.68
1990-02-19,216705.72,2188.10,100.00,420.51
1990-02-20,217745.00,2188.40,100.00,623.97
1990-02-21,218300.00,2188.60,100.00,379.81
1990-02-22,218939.00,2188.70,102.00,424.16
1990-02-23,219496.00,2188.90,105.00,385.82
1990-02-24,220207.09,2189.10,108.00,466.51
1990-02-25,220806.00,2189.20,111.00,412.95
1990-02-26,221512.00,2189.40,111.00,466.94
1990-02-27,222224.55,2189.60,111.00,470.24
1990-02-28,223049.64,2189.80,114.00,529.98
1990-03-01,223692.00,2190.00,114.00,437.86
1990-03-02,224404.00,2190.20,114.00,472.97
1990-03-03,225002.91,2190.30,114.00,415.95
1990-03-04,225610.00,2190.50,114.00,420.08
1990-03-05,226284.00,2190.70,114.00,453.81
1990-03-06,227110.00,2190.90,114.00,530.44
1990-03-07,227604.00,2191.00,117.00,366.06
1990-03-08,228326.00,2191.20,117.00,481.01
1990-03-09,229759.53,2191.60,120.00,842.74
1990-03-10,230671.91,2191.80,117.00,576.99
1990-03-11,231386.00,2192.00,117.00,477.02
1990-03-12,232030.00,2192.20,117.00,441.68
1990-03-13,232600.00,2192.40,117.00,404.38
1990-03-14,233360.00,2192.60,120.00,503.17
1990-03-15,233974.00,2192.70,117.00,426.56
1990-03-16,234586.00,2192.90,120.00,428.55
1990-03-17,235194.00,2193.00,120.00,426.53
1990-03-18,235916.00,2193.20,123.00,487.01
1990-03-19,236952.00,2193.50,123.00,645.32
1990-03-20,238330.00,2193.90,123.00,817.74
1990-03-21,240022.38,2194.30,129.00,982.24
1990-03-22,241605.00,2194.70,129.00,926.91
1990-03-23,243301.91,2195.10,129.00,984.52
1990-03-24,244822.00,2195.50,132.00,898.38
1990-03-25,246100.00,2195.90,132.00,776.33
1990-03-26,247347.00,2196.20,132.00,760.70
1990-03-27,248478.00,2196.50,135.00,705.21
1990-03-28,249687.28,2196.80,135.00,744.68
1990-03-29,251061.81,2197.10,135.00,827.99
1990-03-30,252710.00,2197.60,135.00,965.96
1990-03-31,255140.00,2198.20,138.00,1363.13
1990-04-01,258180.00,2198.90,138.00,1670.67
1990-04-02,262024.00,2199.90,138.00,2076.02
1990-04-03,267320.00,2201.20,141.00,2811.07
1990-04-04,271738.91,2202.30,144.00,2371.87
1990-04-05,275441.09,2203.30,147.00,2013.52
1990-04-06,279614.41,2204.30,147.00,2251.05
1990-04-07,284130.00,2205.40,150.00,2426.61
1990-04-08,288738.00,2206.50,150.00,2473.20
1990-04-09,292584.00,2207.50,150.00,2089.03
1990-04-10,295954.41,2208.30,153.00,1852.25
1990-04-11,299212.31,2209.10,153.00,1795.53
1990-04-12,302610.00,2209.90,153.00,1866.00
1990-04-13,306392.63,2210.80,153.00,2060.07
1990-04-14,311202.00,2212.00,153.00,2577.73
1990-04-15,314646.31,2212.80,153.00,1889.51
1990-04-16,325090.00,2215.30,156.00,5421.36
1990-04-17,332575.00,2217.00,156.00,3929.69
1990-04-18,338556.00,2218.40,156.00,3171.42
1990-04-19,343623.09,2219.60,141.00,2695.66
1990-04-20,348380.00,2220.70,129.00,2527.27
1990-04-21,353156.00,2221.70,129.00,2536.90
1990-04-22,358050.00,2222.90,132.00,2599.39
1990-04-23,362920.00,2224.00,132.00,2587.29
1990-04-24,367280.00,2224.90,129.00,2327.17
1990-04-25,371660.00,2225.90,132.00,2340.25
1990-04-26,374980.00,2226.70,129.00,1802.83
1990-04-27,378310.00,2227.40,135.00,1813.88
1990-04-28,380932.00,2228.00,132.00,1453.93
1990-04-29,383156.00,2228.50,132.00,1253.27
1990-04-30,385114.00,2228.90,141.00,1128.16
1990-05-01,387030.66,2229.30,165.00,1131.31
1990-05-02,389270.56,2229.80,186.00,1315.29
1990-05-03,392352.00,2230.50,195.00,1748.56
1990-05-04,396226.69,2231.30,205.00,2158.49
1990-05-05,401362.00,2232.40,209.00,2798.05
1990-05-06,408204.00,2233.90,219.00,3668.51
1990-05-07,412455.56,2234.80,437.00,2580.50
1990-05-08,414335.00,2235.20,1040.00,1987.55
1990-05-09,415275.00,2235.40,1504.00,1977.92
1990-05-10,416074.22,2235.60,1472.00,1874.94
1990-05-11,417208.72,2235.80,1448.00,2019.98
1990-05-12,417964.00,2236.00,1456.00,1836.79
1990-05-13,418574.44,2236.10,1464.00,1771.76
1990-05-14,419045.00,2236.20,1504.00,1741.24
1990-05-15,419520.59,2236.30,1528.00,1767.78
1990-05-16,420089.00,2236.40,1528.00,1814.57
1990-05-17,420089.00,2236.40,1608.00,1608.00
1990-05-18,420136.00,2236.40,1672.00,1695.70
1990-05-19,420136.00,2236.40,1680.00,1680.00
1990-05-20,420324.00,2236.50,1680.00,1774.78
1990-05-21,421368.00,2236.70,1680.00,2206.35
1990-05-22,421556.00,2236.70,1728.00,1822.78
1990-05-23,421938.72,2236.80,1640.00,1832.95
1990-05-24,422033.75,2236.80,1608.00,1655.91
1990-05-25,421938.72,2236.80,1600.00,1552.09
1990-05-26,421603.00,2236.70,1600.00,1430.74
1990-05-27,421509.00,2236.70,1600.00,1552.61
1990-05-28,422365.00,2236.90,1608.00,2039.57
1990-05-29,424218.47,2237.30,1624.00,2558.46
1990-05-30,425600.19,2237.60,1632.00,2328.62
1990-05-31,428368.00,2238.20,1488.00,2883.44
1990-06-01,429894.00,2238.50,1488.00,2257.36
1990-06-02,430806.00,2238.70,1488.00,1947.80
1990-06-03,432677.13,2239.10,1496.00,2439.36
1990-06-04,435020.00,2239.60,1496.00,2677.20
1990-06-05,436710.00,2239.90,1608.00,2460.04
1990-06-06,437478.13,2240.10,1877.00,2264.26
1990-06-07,438488.25,2240.30,2057.00,2566.27
1990-06-08,439168.00,2240.40,2354.00,2696.71
1990-06-09,438976.00,2240.40,2840.00,2743.20
1990-06-10,438636.00,2240.30,2960.00,2788.58
1990-06-11,437861.88,2240.10,3000.00,2609.71
1990-06-12,436086.25,2239.80,3233.00,2337.79
1990-06-13,434300.00,2239.40,3020.00,2119.43
1990-06-14,434492.00,2239.40,1814.00,1910.80
1990-06-15,436278.72,2239.80,1318.00,2218.80
1990-06-16,438537.38,2240.30,1346.00,2484.74
1990-06-17,440175.00,2240.60,1712.00,2537.64
1990-06-18,439744.00,2240.50,2680.00,2462.70
