DateTime,kac_af,kac_fb,kac_qd,kac_qu
1990-01-01,110608.00,2230.58,8.00,259.08
1990-01-02,110752.18,2230.62,8.00,80.69
1990-01-03,111148.00,2230.73,8.00,207.56
1990-01-04,111760.00,2230.90,9.00,317.55
1990-01-05,112202.00,2231.02,9.00,231.84
1990-01-06,112886.00,2231.21,10.00,354.85
1990-01-07,114408.27,2231.63,12.00,779.48
1990-01-08,115966.00,2232.06,14.00,799.36
1990-01-09,119642.00,2233.07,23.00,1876.32
1990-01-10,121960.00,2233.70,19.00,1187.66
1990-01-11,122885.00,2233.95,13.00,479.35
1990-01-12,123587.46,2234.14,12.00,366.16
1990-01-13,124143.00,2234.29,11.00,291.08
1990-01-14,125179.00,2234.57,10.00,532.32
1990-01-15,125808.00,2234.74,10.00,327.12
1990-01-16,126252.54,2234.86,10.00,234.12
1990-01-17,126622.00,2234.96,9.00,195.27
1990-01-18,126918.00,2235.04,9.00,158.23
1990-01-19,127435.82,2235.18,9.00,270.07
1990-01-20,127472.91,2235.19,9.00,27.70
1990-01-21,127806.00,2235.28,9.00,176.93
1990-01-22,128810.00,2235.55,10.00,516.18
1990-01-23,129408.00,2235.71,10.00,311.49
1990-01-24,129560.00,2235.75,10.00,86.63
1990-01-25,130386.00,2235.97,10.00,426.44
1990-01-26,130685.00,2236.05,10.00,160.75
1990-01-27,131435.00,2236.25,10.00,388.13
1990-01-28,132790.00,2236.61,10.00,693.15
1990-01-29,133463.00,2236.79,11.00,350.30
1990-01-30,134032.00,2236.94,11.00,297.87
1990-01-31,134108.00,2236.96,11.00,49.32
1990-02-01,134593.00,2237.09,10.00,254.52
1990-02-02,135162.00,2237.24,11.00,297.87
1990-02-03,135352.00,2237.29,11.00,106.79
1990-02-04,135618.56,2237.36,11.00,145.39
1990-02-05,136188.00,2237.51,10.00,297.09
1990-02-06,136264.00,2237.53,10.00,48.32
1990-02-07,137062.00,2237.74,11.00,413.33
1990-02-08,137252.00,2237.79,10.00,105.79
1990-02-09,138667.63,2238.16,11.00,724.71
1990-02-10,141461.91,2238.89,25.00,1433.78
1990-02-11,143498.00,2239.42,27.00,1053.53
1990-02-12,144658.00,2239.72,19.00,603.83
1990-02-13,145633.00,2239.97,15.00,506.56
1990-02-14,146443.81,2240.18,13.00,421.78
1990-02-15,146715.00,2240.25,13.00,149.72
1990-02-16,147456.00,2240.44,12.00,385.59
1990-02-17,148080.00,2240.60,11.00,325.60
1990-02-18,148430.91,2240.69,11.00,187.92
1990-02-19,148743.00,2240.77,11.00,168.35
1990-02-20,149796.00,2241.04,11.00,541.89
1990-02-21,149835.00,2241.05,11.00,30.66
1990-02-22,150537.00,2241.23,11.00,364.93
1990-02-23,150654.00,2241.26,10.00,68.99
1990-02-24,151160.91,2241.39,10.00,265.57
1990-02-25,151834.00,2241.56,11.00,350.35
1990-02-26,152029.09,2241.61,11.00,109.36
1990-02-27,152184.52,2241.65,11.00,89.36
1990-02-28,152936.38,2241.84,11.00,390.06
1990-03-01,153290.00,2241.93,11.00,189.29
1990-03-02,153765.00,2242.05,11.00,250.48
1990-03-03,153960.00,2242.10,11.00,109.31
1990-03-04,154633.00,2242.27,11.00,350.30
1990-03-05,155030.69,2242.37,11.00,211.50
1990-03-06,155350.00,2242.45,11.00,171.99
1990-03-07,156259.80,2242.68,11.00,469.69
1990-03-08,156460.00,2242.73,11.00,111.94
1990-03-09,157140.00,2242.90,11.00,353.83
1990-03-10,157740.00,2243.05,11.00,313.50
1990-03-11,158060.30,2243.13,11.00,172.48
1990-03-12,158299.91,2243.19,10.00,130.80
1990-03-13,158940.48,2243.35,10.00,332.96
1990-03-14,159500.00,2243.49,10.00,292.09
1990-03-15,159660.00,2243.53,11.00,91.67
1990-03-16,160299.91,2243.69,11.00,333.62
1990-03-17,160460.00,2243.73,11.00,91.71
1990-03-18,160620.00,2243.77,11.00,91.67
1990-03-19,161390.00,2243.96,12.00,400.21
1990-03-20,162109.41,2244.14,12.00,374.70
1990-03-21,163119.91,2244.39,12.00,521.46
1990-03-22,163690.00,2244.53,12.00,299.42
1990-03-23,164780.00,2244.80,12.00,561.54
1990-03-24,165354.00,2244.94,11.00,300.39
1990-03-25,166050.09,2245.11,11.00,361.95
1990-03-26,166492.00,2245.22,11.00,233.79
1990-03-27,167107.70,2245.37,11.00,321.42
1990-03-28,167476.00,2245.46,11.00,196.68
1990-03-29,168213.41,2245.64,11.00,382.78
1990-03-30,169034.41,2245.84,12.00,425.92
1990-03-31,170059.00,2246.09,13.00,529.57
1990-04-01,171412.00,2246.42,13.00,695.14
1990-04-02,172980.00,2246.80,13.00,803.53
1990-04-03,174262.11,2247.11,13.00,659.40
1990-04-04,175880.00,2247.50,13.00,828.69
1990-04-05,177130.00,2247.80,12.00,642.21
1990-04-06,178715.80,2248.18,12.00,811.51
1990-04-07,180637.39,2248.64,12.00,980.80
1990-04-08,182108.00,2248.99,11.00,752.43
1990-04-09,183452.11,2249.31,11.00,688.66
1990-04-10,184586.00,2249.58,11.00,582.67
1990-04-11,185897.89,2249.89,11.00,672.41
1990-04-12,187378.00,2250.24,11.00,757.22
1990-04-13,189287.89,2250.69,11.00,973.90
1990-04-14,191330.69,2251.17,11.00,1040.91
1990-04-15,193513.80,2251.68,11.00,1111.65
1990-04-16,196213.11,2252.31,11.00,1371.90
1990-04-17,198793.00,2252.91,10.00,1310.70
1990-04-18,200814.84,2253.38,10.00,1029.35
1990-04-19,202372.00,2253.74,10.00,795.07
1990-04-20,204018.22,2254.12,10.00,839.97
1990-04-21,205627.00,2254.49,10.00,821.09
1990-04-22,207281.73,2254.87,10.00,844.26
1990-04-23,209072.00,2255.28,10.00,912.59
1990-04-24,210599.31,2255.63,10.00,780.02
1990-04-25,212396.00,2256.04,11.00,916.83
1990-04-26,213584.11,2256.31,11.00,610.01
1990-04-27,215035.36,2256.64,11.00,742.67
1990-04-28,216048.75,2256.87,11.00,521.92
1990-04-29,216928.00,2257.07,11.00,454.29
1990-04-30,217544.00,2257.21,208.00,518.57
1990-05-01,217500.00,2257.20,515.00,492.82
1990-05-02,217500.00,2257.20,510.00,510.00
1990-05-03,217588.00,2257.22,506.00,550.37
1990-05-04,217940.00,2257.30,505.00,682.47
1990-05-05,219270.00,2257.60,510.00,1180.54
1990-05-06,220864.00,2257.96,306.00,1109.64
1990-05-07,221930.00,2258.20,112.00,649.44
1990-05-08,222685.77,2258.37,112.00,493.03
1990-05-09,223440.00,2258.54,202.00,582.26
1990-05-10,223710.00,2258.60,291.00,427.13
1990-05-11,224395.00,2258.77,294.00,639.35
1990-05-12,225265.00,2258.95,290.00,728.63
1990-05-13,225578.00,2259.02,293.00,450.80
1990-05-14,226154.45,2259.15,293.00,583.63
1990-05-15,226830.00,2259.30,293.00,633.59
1990-05-16,227094.64,2259.36,293.00,426.42
1990-05-17,227225.89,2259.39,293.00,359.17
1990-05-18,227810.00,2259.52,292.00,586.49
1990-05-19,228035.00,2259.57,292.00,405.44
1990-05-20,228700.00,2259.72,292.00,627.27
1990-05-21,228925.00,2259.77,292.00,405.44
1990-05-22,229645.00,2259.93,295.00,658.00
1990-05-23,230589.34,2260.14,231.00,707.11
1990-05-24,230814.89,2260.19,190.00,303.71
1990-05-25,231040.00,2260.24,190.00,303.49
1990-05-26,231535.55,2260.35,190.00,439.84
1990-05-27,232075.00,2260.47,192.00,463.97
1990-05-28,233200.00,2260.72,192.00,759.19
1990-05-29,233830.66,2260.86,272.00,589.96
1990-05-30,233920.88,2260.88,413.00,458.49
1990-05-31,235224.67,2261.17,363.00,1020.33
1990-06-01,235765.00,2261.29,186.00,458.42
1990-06-02,236485.00,2261.45,117.00,480.00
1990-06-03,238208.34,2261.83,89.00,957.85
1990-06-04,239295.00,2262.07,61.00,608.86
1990-06-05,239843.89,2262.27,330.00,606.73
1990-06-06,240205.00,2262.29,621.00,803.06
1990-06-07,240340.00,2262.39,594.00,662.06
1990-06-08,240845.00,2262.41,585.00,839.60
1990-06-09,241296.00,2262.46,649.00,876.38
1990-06-10,241342.00,2262.52,694.00,717.19
1990-06-11,241296.00,2262.51,862.00,838.81
1990-06-12,240890.00,2262.42,1109.00,904.31
1990-06-13,239476.11,2262.11,1174.00,461.16
1990-06-14,238890.00,2261.98,778.00,482.50
1990-06-15,238890.00,2261.98,538.00,538.00
1990-06-16,238890.00,2261.98,537.00,537.00
1990-06-17,238845.00,2261.97,533.00,510.31
1990-06-18,238800.00,2261.96,537.00,514.31
1990-06-19,238800.00,2261.96,537.00,537.00
1990-06-20,238800.00,2261.96,536.00,536.00
1990-06-21,239250.00,2262.06,563.00,789.88
1990-06-22,239430.00,2262.10,640.00,730.75
1990-06-23,239115.00,2262.03,695.00,536.19
1990-06-24,238845.00,2261.97,694.00,557.87
1990-06-25,238392.78,2261.87,664.00,436.01
1990-06-26,238254.45,2261.84,561.00,491.26
1990-06-27,238025.00,2261.79,530.00,414.32
1990-06-28,237890.00,2261.76,445.00,376.94
1990-06-29,237935.00,2261.77,342.00,364.69
1990-06-30,237935.00,2261.77,342.00,342.00
1990-07-01,238162.22,2261.82,341.00,455.56
1990-07-02,237890.00,2261.76,341.00,203.76
1990-07-03,237980.00,2261.78,341.00,386.38
1990-07-04,237665.00,2261.71,341.00,182.19
1990-07-05,237620.00,2261.70,341.00,318.31
1990-07-06,237620.00,2261.70,340.00,340.00
1990-07-07,237529.78,2261.68,340.00,294.51
1990-07-08,237439.56,2261.66,340.00,294.51
1990-07-09,237305.33,2261.63,340.00,272.32
1990-07-10,237078.00,2261.58,339.00,224.39
1990-07-11,236620.00,2261.48,339.00,108.09
1990-07-12,236575.00,2261.47,339.00,316.31
1990-07-13,236395.00,2261.43,339.00,248.25
1990-07-14,235945.33,2261.33,338.00,111.29
1990-07-15,235810.00,2261.30,338.00,269.77
1990-07-16,235540.00,2261.24,338.00,201.87
1990-07-17,234955.11,2261.11,338.00,43.12
1990-07-18,234640.00,2261.04,330.00,171.13
1990-07-19,234145.00,2260.93,330.00,80.44
1990-07-20,233695.33,2260.83,330.00,103.29
1990-07-21,233245.00,2260.73,330.00,102.96
1990-07-22,232700.00,2260.61,330.00,55.23
1990-07-23,232165.00,2260.49,329.00,59.27
1990-07-24,231620.00,2260.37,329.00,54.23
1990-07-25,231085.00,2260.25,329.00,59.27
1990-07-26,230500.22,2260.12,329.00,34.17
1990-07-27,230050.00,2260.02,328.00,101.01
1990-07-28,229555.00,2259.91,328.00,78.44
1990-07-29,229015.00,2259.79,328.00,55.75
1990-07-30,228565.89,2259.69,328.00,101.57
1990-07-31,228125.00,2259.59,327.00,104.72
1990-08-01,227500.00,2259.45,327.00,11.90
1990-08-02,226960.00,2259.33,327.00,54.75
1990-08-03,226380.00,2259.20,327.00,34.58
1990-08-04,225798.00,2259.07,327.00,33.57
1990-08-05,225220.00,2258.94,326.00,34.59
1990-08-06,224690.00,2258.82,326.00,58.79
1990-08-07,224110.00,2258.69,326.00,33.58
1990-08-08,223530.00,2258.56,326.00,33.58
1990-08-09,222952.00,2258.43,325.00,33.59
1990-08-10,222330.00,2258.29,325.00,11.41
1990-08-11,221710.00,2258.15,325.00,12.42
1990-08-12,221128.00,2258.02,325.00,31.57
1990-08-13,220550.00,2257.89,324.00,32.59
1990-08-14,219930.00,2257.75,324.00,11.42
1990-08-15,219310.00,2257.61,324.00,11.42
1990-08-16,218688.00,2257.47,324.00,10.41
1990-08-17,218072.33,2257.33,323.00,12.60
1990-08-18,217455.89,2257.19,327.00,16.21
1990-08-19,216884.00,2257.06,326.00,37.67
1990-08-20,216400.00,2256.95,323.00,78.98
1990-08-21,216356.00,2256.94,326.00,303.82
1990-08-22,215740.00,2256.80,326.00,15.43
1990-08-23,215160.00,2256.67,322.00,29.58
1990-08-24,214590.00,2256.54,325.00,37.62
1990-08-25,214020.00,2256.41,325.00,37.62
1990-08-26,213400.00,2256.27,325.00,12.42
1990-08-27,212879.47,2256.15,325.00,62.57
1990-08-28,212352.00,2256.03,321.00,55.07
1990-08-29,211868.00,2255.92,321.00,76.98
1990-08-30,211252.00,2255.78,320.00,9.43
1990-08-31,210944.00,2255.71,320.00,164.72
1990-09-01,210338.00,2255.57,320.00,14.47
