DateTime,kee_af,kee_fb,kee_qd,kee_qu
1990-01-01,67832.00,2474.42,0.00,216.87
1990-01-02,68113.00,2474.59,0.00,141.67
1990-01-03,68524.16,2474.84,0.00,207.29
1990-01-04,69137.00,2475.21,0.00,308.98
1990-01-05,70028.00,2475.74,0.00,449.21
1990-01-06,71236.00,2476.46,0.00,609.03
1990-01-07,73660.00,2477.88,0.00,1222.10
1990-01-08,75488.00,2478.94,0.00,921.62
1990-01-09,80828.00,2481.96,2.00,2694.25
1990-01-10,83895.72,2483.64,1.00,1547.64
1990-01-11,85367.00,2484.43,0.00,741.77
1990-01-12,86411.00,2484.99,0.00,526.35
1990-01-13,86714.77,2485.15,0.00,153.15
1990-01-14,87894.00,2485.78,0.00,594.53
1990-01-15,88424.00,2486.06,0.00,267.21
1990-01-16,88994.28,2486.36,0.00,287.52
1990-01-17,89460.00,2486.60,0.00,234.80
1990-01-18,89878.09,2486.82,0.00,210.79
1990-01-19,90258.00,2487.02,0.00,191.54
1990-01-20,90610.00,2487.20,0.00,177.47
1990-01-21,91000.00,2487.40,0.00,196.63
1990-01-22,91751.00,2487.79,0.00,378.63
1990-01-23,92103.00,2487.97,0.00,177.47
1990-01-24,92454.77,2488.15,0.00,177.35
1990-01-25,93000.00,2488.43,0.00,274.89
1990-01-26,93368.09,2488.62,0.00,185.58
1990-01-27,93996.00,2488.94,0.00,316.57
1990-01-28,94820.30,2489.36,0.00,415.58
1990-01-29,95320.05,2489.61,0.00,251.96
1990-01-30,95730.10,2489.82,0.00,206.74
1990-01-31,96030.00,2489.97,0.00,151.20
1990-02-01,96510.00,2490.21,0.00,242.00
1990-02-02,96930.00,2490.42,0.00,211.75
1990-02-03,97270.00,2490.59,0.00,171.42
1990-02-04,97570.00,2490.74,0.00,151.25
1990-02-05,98050.00,2490.98,0.00,242.00
1990-02-06,98349.66,2491.13,0.00,151.08
1990-02-07,98879.95,2491.39,0.00,267.36
1990-02-08,99220.00,2491.56,0.00,171.44
1990-02-09,100050.00,2491.97,0.00,418.46
1990-02-10,103200.00,2493.50,3.00,1591.13
1990-02-11,106404.00,2495.04,3.00,1618.35
1990-02-12,107842.00,2495.72,1.00,725.99
1990-02-13,108660.00,2496.11,1.00,413.41
1990-02-14,109430.00,2496.47,1.00,389.21
1990-02-15,110180.00,2496.82,1.00,379.13
1990-02-16,111030.00,2497.12,1.00,429.54
1990-02-17,111380.00,2497.38,1.00,177.46
1990-02-18,111910.00,2497.63,1.00,268.21
1990-02-19,112470.00,2497.89,1.00,283.33
1990-02-20,112910.00,2498.09,1.00,222.83
1990-02-21,113360.00,2498.30,1.00,227.88
1990-02-22,113778.00,2498.49,1.00,211.74
1990-02-23,114173.84,2498.67,1.00,200.57
1990-02-24,114647.95,2498.89,1.00,240.03
1990-02-25,115175.63,2499.13,1.00,267.04
1990-02-26,115660.27,2499.35,1.00,245.34
1990-02-27,116166.00,2499.58,1.00,255.97
1990-02-28,116606.00,2499.78,1.00,222.83
1990-03-01,117068.00,2499.99,1.00,233.93
1990-03-02,117485.89,2500.18,1.00,211.69
1990-03-03,117915.84,2500.38,1.00,217.77
1990-03-04,118354.00,2500.57,1.00,221.90
1990-03-05,118778.00,2500.76,1.00,214.77
1990-03-06,119244.00,2500.97,1.00,235.94
1990-03-07,119848.00,2501.24,1.00,305.52
1990-03-08,120474.00,2501.52,1.00,316.61
1990-03-09,121123.05,2501.81,1.00,328.23
1990-03-10,121665.00,2502.05,1.00,274.23
1990-03-11,122069.00,2502.23,1.00,204.68
1990-03-12,122413.89,2502.38,1.00,174.88
1990-03-13,122841.00,2502.57,1.00,216.33
1990-03-14,123414.11,2502.82,1.00,289.94
1990-03-15,123751.00,2502.97,1.00,170.85
1990-03-16,124141.66,2503.14,1.00,197.96
1990-03-17,124556.11,2503.32,1.00,209.95
1990-03-18,125052.00,2503.54,1.00,251.01
1990-03-19,125673.05,2503.81,1.00,314.12
1990-03-20,126570.00,2504.20,2.00,454.21
1990-03-21,127546.11,2504.62,2.00,494.12
1990-03-22,128512.00,2505.04,2.00,488.97
1990-03-23,129419.00,2505.43,2.00,459.28
1990-03-24,130119.00,2505.73,2.00,354.92
1990-03-25,130704.00,2505.98,2.00,296.94
1990-03-26,131268.00,2506.22,2.00,286.35
1990-03-27,131828.00,2506.46,2.00,284.33
1990-03-28,132469.00,2506.73,2.00,325.17
1990-03-29,133148.00,2507.02,2.00,344.33
1990-03-30,134025.94,2507.39,2.00,444.63
1990-03-31,135046.11,2507.82,2.00,516.34
1990-04-01,136262.17,2508.33,2.00,615.10
1990-04-02,137846.00,2508.99,3.00,801.51
1990-04-03,139439.70,2509.65,3.00,806.49
1990-04-04,140900.00,2510.25,3.00,739.23
1990-04-05,142390.36,2510.86,3.00,754.39
1990-04-06,143985.00,2511.51,4.00,807.97
1990-04-07,145610.00,2512.17,4.00,823.27
1990-04-08,146800.00,2512.65,4.00,603.96
1990-04-09,148370.00,2513.28,250.00,1041.54
1990-04-10,148644.94,2513.39,498.00,636.61
1990-04-11,149095.00,2513.57,500.00,726.91
1990-04-12,149845.42,2513.87,502.00,880.34
1990-04-13,150748.00,2514.23,502.00,957.05
1990-04-14,151904.94,2514.69,652.00,1235.29
1990-04-15,152565.00,2514.95,1086.00,1418.78
1990-04-16,152890.00,2515.08,1414.00,1577.85
1990-04-17,152690.00,2515.00,1522.00,1421.17
1990-04-18,151804.69,2514.65,1522.00,1075.65
1990-04-19,150594.81,2514.17,1518.00,908.02
1990-04-20,149745.19,2513.83,1236.00,807.65
1990-04-21,149470.00,2513.72,1012.00,873.26
1990-04-22,149244.58,2513.63,1012.00,898.35
1990-04-23,149244.58,2513.63,948.00,948.00
1990-04-24,149394.94,2513.69,864.00,939.81
1990-04-25,149420.00,2513.70,861.00,873.64
1990-04-26,149120.00,2513.58,861.00,709.75
1990-04-27,148795.00,2513.45,858.00,694.15
1990-04-28,148094.81,2513.17,855.00,501.99
1990-04-29,147245.19,2512.83,852.00,423.65
1990-04-30,147074.00,2512.76,412.00,325.69
1990-05-01,147670.00,2513.00,155.00,455.48
1990-05-02,148545.31,2513.35,154.00,595.30
1990-05-03,149670.00,2513.80,152.00,719.03
1990-05-04,151080.36,2514.36,154.00,865.06
1990-05-05,153121.81,2515.17,152.00,1181.23
1990-05-06,154892.44,2515.87,318.00,1210.69
1990-05-07,155505.06,2516.11,472.00,780.87
1990-05-08,155730.00,2516.20,472.00,585.41
1990-05-09,155855.00,2516.25,472.00,535.02
1990-05-10,156058.19,2516.33,472.00,574.44
1990-05-11,156266.00,2516.41,472.00,576.77
1990-05-12,156422.00,2516.47,472.00,550.65
1990-05-13,156625.00,2516.55,472.00,574.35
1990-05-14,156725.00,2516.59,475.00,525.42
1990-05-15,156725.00,2516.59,475.00,475.00
