DateTime,rim_af,rim_fb,rim_qd,rim_qu
1990-01-01,90733.96,2874.19,0.00,190.56
1990-01-02,91243.00,2874.49,0.00,256.64
1990-01-03,91504.79,2874.65,0.00,131.99
1990-01-04,91962.00,2874.92,0.00,230.51
1990-01-05,92668.16,2875.34,0.00,356.02
1990-01-06,92838.00,2875.44,0.00,85.63
1990-01-07,94068.88,2876.17,0.00,620.57
1990-01-08,94952.96,2876.69,0.00,445.73
1990-01-09,97635.00,2878.25,2.00,1354.20
1990-01-10,100618.00,2879.96,76.00,1579.93
1990-01-11,103034.13,2881.33,15.00,1233.13
1990-01-12,105022.00,2882.44,1.00,1003.22
1990-01-13,105292.00,2882.59,0.00,136.13
1990-01-14,107930.00,2884.05,0.00,1329.99
1990-01-15,109552.00,2884.94,0.00,817.76
1990-01-16,110950.00,2885.70,0.00,704.83
1990-01-17,112100.00,2886.32,0.00,579.79
1990-01-18,113180.00,2886.90,0.00,544.50
1990-01-19,114842.00,2887.79,0.00,837.93
1990-01-20,115876.19,2888.34,0.00,521.40
1990-01-21,116864.28,2888.86,0.00,498.16
1990-01-22,117605.00,2889.25,0.00,373.45
1990-01-23,118745.23,2889.85,0.00,574.87
1990-01-24,118973.00,2889.97,0.00,114.83
1990-01-25,119591.00,2890.29,0.00,311.58
1990-01-26,120239.66,2890.63,0.00,327.03
1990-01-27,121239.76,2891.15,0.00,504.22
1990-01-28,121880.00,2891.48,0.00,322.79
1990-01-29,122651.91,2891.88,0.00,389.17
1990-01-30,122890.00,2892.00,0.00,120.04
1990-01-31,123413.00,2892.27,0.00,263.68
1990-02-01,124012.00,2892.58,0.00,302.00
1990-02-02,124520.20,2892.84,0.00,256.22
1990-02-03,125230.00,2893.20,0.00,357.86
1990-02-04,125800.00,2893.49,0.00,287.38
1990-02-05,126030.05,2893.61,0.00,115.98
1990-02-06,126580.95,2893.89,0.00,277.75
1990-02-07,127019.05,2894.11,0.00,220.87
1990-02-08,127450.15,2894.33,0.00,217.35
1990-02-09,128420.10,2894.82,0.00,489.02
1990-02-10,129300.00,2895.26,3.00,446.62
1990-02-11,129590.00,2895.41,66.00,212.21
1990-02-12,130390.05,2895.81,20.00,423.36
1990-02-13,131150.00,2896.19,2.00,385.14
1990-02-14,131980.00,2896.60,0.00,418.46
1990-02-15,132800.00,2897.01,0.00,413.42
1990-02-16,133119.86,2897.17,74.00,235.26
1990-02-17,133443.16,2897.33,203.00,366.00
1990-02-18,133670.00,2897.44,203.00,317.37
1990-02-19,133790.00,2897.50,203.00,263.50
1990-02-20,134149.91,2897.68,200.00,381.45
1990-02-21,134337.00,2897.77,201.00,295.33
1990-02-22,134480.20,2897.84,201.00,273.20
1990-02-23,134660.00,2897.93,201.00,291.65
1990-02-24,134842.00,2898.02,201.00,292.76
1990-02-25,135030.05,2898.11,204.00,298.81
1990-02-26,135230.00,2898.21,204.00,304.81
1990-02-27,135452.11,2898.32,204.00,315.98
1990-02-28,135660.00,2898.42,204.00,308.81
