DateTime,Current Year,Previous Year,Average
2000/10/01,87337.95,109945.16,317989.56870967743
2000/10/02,84758.03,105522.32,313322.958
2000/10/03,82207.09,101648.07,309949.7783333333
2000/10/04,79741.91,98284.85,306951.10000000003
2000/10/05,77743.8,94719.1,304009.98966666666
2000/10/06,76320.02,91545.47,300905.13766666665
2000/10/07,75524.26,88247,297984.865
2000/10/08,74826.93,84945.42,295275.88566666667
2000/10/09,74246.06,81836.01,292614.4966666667
2000/10/10,73600.66,78749.73,290149.583
2000/10/11,73448.98,75867.9,288181.74133333337
2000/10/12,73281.12,73347.79,286320.24966666667
2000/10/13,73043.13,71346.25,284680.0586666667
2000/10/14,72630,69634.93,283583.1666666666
2000/10/15,72139.97,68396.79,283062.14166666666
2000/10/16,71575.01,67278,283242.07266666665
2000/10/17,71047.14,66621.05,283796.001
2000/10/18,71066.88,66375.97,284557.349
2000/10/19,72477.03,66065.98,285570.7003333333
2000/10/20,73376.84,66743.1,287087.56500000006
2000/10/21,73627.37,67472.13,288990.6413333334
2000/10/22,73563.88,67742.03,291676.4783333334
2000/10/23,73510.08,67902.06,293535.41400000005
2000/10/24,74076.7,67778.05,295010.34699999995
2000/10/25,75395.44,67787.01,296225.4623333334
2000/10/26,76877.92,68041.03,297800.54999999993
2000/10/27,77717.9,69455.83,299475.2763333333
2000/10/28,78466.13,70882.05,301191.8096666666
2000/10/29,80225.06,71639.58,303280.5416666667
2000/10/30,80986,72263.96,306323.57966666657
2000/10/31,82437.39,72808.12,310544.01166666666
2000/11/01,92227.75,73631,313924.5686666667
2000/11/02,102677.07,74462.01,316832.30999999994
2000/11/03,107669.95,75214.97,319253.8616666667
2000/11/04,110849.85,76698.91,321958.417
2000/11/05,115009.65,78060.34,324763.388
2000/11/06,124989.07,78779.94,329297.0926666667
2000/11/07,137295.13,79191.11,334006.76
2000/11/08,144195.99,79805.12,337599.58866666665
2000/11/09,148732.99,80338.68,340313.62066666665
2000/11/10,152807.91,80788.42,342342.7523333333
2000/11/11,156477.51,82149.95,344846.8940000001
2000/11/12,159758.25,83630.01,349196.8576666666
2000/11/13,163874.12,86402.14,354039.3166666667
2000/11/14,172220.99,89245.06,358551.8036666667
2000/11/15,183095.19,91572.85,362130.233
2000/11/16,190730.98,93449.86,365540.2233333334
2000/11/17,196535.81,96454,369522.157
2000/11/18,201004.11,99472.78,373397.81700000004
2000/11/19,204407.87,101660.69,377000.199
2000/11/20,207345.73,103199.02,380128.44066666666
2000/11/21,209998.17,104691.65,382809.76100000006
2000/11/22,211903.49,106564.49,385562.6700000001
2000/11/23,214158,107754.89,389037.7793333333
